priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason
1,역삼/선릉,역삼전자담배멀티샵,서울 강남구 역삼로 139,010-6268-6451,,,,,멀티샵,역삼 상권,4,4,4,12,A,2,미접촉,,기존 02 번호 대신 공개 검색상 확인된 010 번호로 교체,yes,web_search_draft,,코어 오피스/상업권,13.70,P3,Wave 3,489,Batch 9,"score 13.7, tier1 area"
1,역삼/선릉,쿨베이핑 개포점,서울 강남구 개포동,010-9249-3007,,,,,전자담배 전문점,개포 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,코어 오피스/상업권,13.70,P3,Wave 3,490,Batch 9,"score 13.7, tier1 area, message_type1, flags:draft_only"
3,압구정/청담,시가댕,서울 강남구 청담동 40-20 수정하이츠 202,010-2395-3314,https://m.cicadeng.com/shopinfo/company.html,,,,시가/전자담배 복합,청담 니치 상권,3,3,5,11,B,3,미접촉,,"전자담배 액상/시가 계열, 적합성 별도 판단",yes,linked_source,,코어 오피스/상업권,11.40,P3,Wave 3,491,Batch 9,"score 11.4, linked source"
1,성수,금호동조아전자담배,서울 성동구 금호동,010-9627-2740,,,,,전자담배 전문점,금호 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,web_search_draft,draft_only,트렌드/대학가,13.70,P3,Wave 3,492,Batch 10,"score 13.7, tier1 area, message_type1, flags:draft_only"
2,건대입구,라미야자양점,서울 광진구 자양로13길 19 1층,010-9407-3923,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,자양동 상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,트렌드/대학가,13.60,P3,Wave 3,493,Batch 10,"score 13.6, linked source"
2,건대입구,바이올렛베이프샵,서울 광진구 뚝섬로 522 1층,010-7979-1655,https://www.okinolabs.com/ko/store-locator/,,,,전자담배 전문점,자양동 생활상권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,트렌드/대학가,13.60,P3,Wave 3,494,Batch 10,"score 13.6, linked source"
2,건대입구,킹콩베이퍼스 군자점,서울 광진구 광나루로 369 광진두산위브파크 1층 102호,010-9930-9140,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,군자/건대권,3,4,5,12,A,2,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,트렌드/대학가,13.60,P3,Wave 3,495,Batch 10,"score 13.6, linked source"
3,건대입구,나만없어전자담배,서울특별시 광진구 아차산로34길 5 1층,010-2655-1530,https://end-puff.com/bs21/layout/map_all2.html,,,,전자담배 전문점,광진구 아차산 상권,3,4,5,12,A,1,미접촉,,엔드퍼프 공식 스토어로케이터 기반 2026-04-10 추가,yes,linked_source,,트렌드/대학가,13.30,P3,Wave 3,496,Batch 10,"score 13.3, message_type1, linked source"
3,건대입구,베이프랩 자양점,서울 광진구 구의동,010-2209-6383,https://m.vapelab.co.kr/shopinfo/company.html,,,,전자담배 전문점,자양/구의 상권,3,4,5,12,A,1,미접촉,,공개 웹 검색 기반 초안,yes,linked_source,,트렌드/대학가,13.30,P3,Wave 3,497,Batch 10,"score 13.3, message_type1, linked source"
3,건대입구,앳츠,서울특별시 광진구 군자로7길 10 (화양동) 1층,010-4447-7869,https://end-puff.com/bs21/layout/map_all2.html,,,,전자담배 전문점,광진구 화양동 상권,3,4,5,12,A,1,미접촉,,엔드퍼프 공식 스토어로케이터 기반 2026-04-10 추가,yes,linked_source,,트렌드/대학가,13.30,P3,Wave 3,498,Batch 10,"score 13.3, message_type1, linked source"
