priority_tier,area,store_name,address,phone,map_link,instagram_or_site,review_count,rating,store_type,store_tone,location_score,specialty_score,contactability_score,total_score,priority_grade,message_type,contact_status,last_contact_date,notes,sms_ready,source_bucket,cleanup_flags,cluster,send_score,send_priority_bucket,recommended_wave,send_order,batch_hint,priority_reason
1,강남역,증기샵,서울 강남구 강남대로84길 15 효성해링턴타워 2층 208호 증기샵,010-4922-9212,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,강남역 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,1,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,신논현/논현,킹콩전자담배강남점,서울 강남구 학동로2길 6 1층 킹콩전자담배,010-3208-5522,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,신논현/논현 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,2,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,역삼/선릉,강남 스타베이프,서울 강남구 언주로 201 에스케이리더스뷰,010-4052-2004,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,역삼/선릉 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,3,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,역삼/선릉,더킹전자담배,서울 강남구 언주로 409 1층 더킹전자담배,010-3880-9896,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,역삼/선릉 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,4,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,역삼/선릉,라미야수서점,"서울 강남구 밤고개로1길 10, 202호(수서동, 수서현대벤쳐빌)",010-2753-0134,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,역삼/선릉 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,5,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,역삼/선릉,킹콩전자담배,서울 강남구 선릉로93길 28 1층 킹콩전자담배,010-7131-2019,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,역삼/선릉 공식 스토어 로케이터 검증,5,4,5,14,A,1,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,17.30,P1,Wave 1,6,Batch 1,"score 17.3, tier1 area, message_type1, official source"
1,여의도,킹스베이프,서울 영등포구 여의대방로65길 10 유니온타워 B101호 킹스베이프,010-2292-9696,https://m.martha-vape.com/bs21/layout/map_store2.html,,,,전자담배 전문점,여의도 공식 스토어 로케이터 검증,5,4,5,14,A,2,미접촉,,공식 스토어 로케이터(martha) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,16.90,P1,Wave 1,7,Batch 1,"score 16.9, tier1 area, official source"
1,여의도,하카국회점,서울 영등포구 국회대로 780 엘지여의도에클라트제지층제비04-1호,010-9907-3028,http://litmuskorea.co.kr/sitefront/Litmuskorea/stores/,,,,전자담배 전문점,여의도 공식 스토어 로케이터 검증,5,4,5,14,A,2,미접촉,,공식 스토어 로케이터(litmus) 기반 SMS 우선 확장 배치 2026-04-09,yes,official_locator,,코어 오피스/상업권,16.90,P1,Wave 1,8,Batch 1,"score 16.9, tier1 area, official source"
1,강남역,시가모아 강남점,서울 서초구 강남대로53길 7 강남애니타워 지하1층 B05호,010-8989-2577,https://map.naver.com/p/search/시가모아 강남점,,,,전자담배 전문점,강남역 애매번호 재검증 복구,5,4,5,14,A,1,미접촉,,"애매번호 재검증 복구 2026-04-10. 네이버 지도 검색상 서울 서초구 서초동 전자담배 결과가 단일 매칭됐고, 두 소스가 같은 건물과 번호를 가리킴",yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,9,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,강남역,에어릭스전자담배 강남역점,서울 강남구 강남대로96길 9 에어릭스전자담배,0507-1418-1549,https://pcmap.place.naver.com/place/2072973821/home,,,,전자담배 전문점,강남역 네이버 검색 핫스팟 2차 검증,5,4,5,14,A,1,미접촉,,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=강남역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,10,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,강남역,저스트포그 강남본점,서울 서초구 강남대로 309,010-4007-9783,https://m.justfog.co.kr/stockist.html,, , ,전자담배 전문점,브랜드 취급점급,5,4,5,14,A,1,미접촉,,공개 웹 검색 기준 강남권 취급점 주소/번호. 상호 직접 확인 필요,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,11,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,강남역,하카 강남역직영점,서울 서초구 강남대로65길 12 101호,0507-1372-2161,https://pcmap.place.naver.com/place/1069379019/home,,,,전자담배 전문점,강남역 네이버 검색 핫스팟 2차 검증,5,4,5,14,A,1,미접촉,,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=강남역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,12,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,삼성/코엑스,듀바코 삼성점,서울 강남구 삼성로103길 12 신도브래뉴주상복합 지하1층 B105-1호,010-3237-4520,https://map.naver.com/p/search/듀바코 삼성점,,,,전자담배 전문점,삼성/코엑스 애매번호 재검증 복구,5,4,5,14,A,1,미접촉,,애매번호 재검증 복구 2026-04-10. 듀바코 삼성점/라미야삼성점이 같은 신도브래뉴주상복합 B105-1호와 동일 번호로 수렴해 단일 매장으로 판단,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,13,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,삼성/코엑스,룩전자담배점,서울 강남구 봉은사로 420 학산빌딩 102호,010-8078-9600,https://map.naver.com/p/search/룩 전자담배 삼성,,,,전자담배 전문점,삼성/코엑스 애매번호 재검증 복구,5,4,5,14,A,1,미접촉,,애매번호 재검증 복구 2026-04-10. 네이버 지도와 Litmus가 모두 봉은사로 420 학산빌딩 계열 전자담배 매장으로 수렴해 복구 가능,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,14,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,삼성/코엑스,위베이프 도깨비전자 삼성점,서울 강남구 봉은사로82길 25 1층 103호 위베이프 삼성 전자담배,0507-1376-9876,https://pcmap.place.naver.com/place/1941000454/home,,,,전자담배 전문점,삼성/코엑스 네이버 검색 핫스팟 2차 검증,5,4,5,14,A,1,미접촉,,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,15,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
1,삼성/코엑스,위베이프 삼성역,서울 강남구 영동대로85길 20 대치3차 아이파크오피스텔 301호,0507-1408-8447,https://pcmap.place.naver.com/place/35700330/home,,,,전자담배 전문점,삼성/코엑스 네이버 검색 핫스팟 2차 검증,5,4,5,14,A,1,미접촉,,네이버 검색 핫스팟 2차 확장 2026-04-10 · query=삼성역 전자담배,yes,linked_source,,코어 오피스/상업권,16.80,P1,Wave 1,16,Batch 1,"score 16.8, tier1 area, message_type1, linked source"
